held_out_study,n_local_participants,n_local_selections,n_evaluation_participants,draw,method,identified,mean_absolute_error,transported_mean_absolute_error
StudyA,1,108,12,129,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,130,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,131,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,132,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,133,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,134,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,135,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,136,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,137,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,138,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,139,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,140,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,141,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,142,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,143,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,144,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,145,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,146,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,147,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,148,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,149,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,150,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,151,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,152,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,153,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,154,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,155,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,156,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,157,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,158,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,159,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,160,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,161,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,162,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,163,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,164,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,165,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,166,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,167,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,168,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,169,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,170,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,171,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,172,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,173,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,174,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,175,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,176,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,177,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,178,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,179,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,180,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,181,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,182,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,183,intercept_only,True,0.17280840382911616,0.11840375528339307
