arm,held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates
calibration_auc_cohort_z,StudyL,33,990,-1.431361690104498,0.26342517733380644,2.0401443566978026,0.2122176849288389,cluster,
calibration_auc_cohort_z,StudyM,42,1260,-0.2540093561988208,0.43089110905821953,1.0946601073660165,0.2569138999617946,cluster,
calibration_auc_cohort_z,StudyN,16,480,-2.633311351209371,0.7279578738121381,2.0808928924988335,0.42998000693959776,cluster,
calibration_auc_cohort_z,StudyO,34,1187,1.2123692960401984,0.35290677302641793,0.4955302993920837,0.21856555446409837,cluster,
calibration_auc_cohort_z,StudyQ,54,1944,-0.09806427835592552,0.2190669197967546,0.9756031823520284,0.1183381605522209,cluster,
calibration_auc_cohort_z,StudyR,80,1440,2.3465606648747084,0.23723529288827663,0.586766272748517,0.1585374370939585,cluster,
calibration_auc_cohort_z,StudyS1,20,360,4.48133410209052,1.3859637922414267,0.9542098363037699,0.5671018134244452,cluster,
calibration_auc_cohort_z,StudyS2,48,864,1.7818412954448355,0.6012367530611742,1.3928539047827941,0.31532826751404225,cluster,
calibration_auc_cohort_rank,StudyA,39,1404,-1.762694049026842,0.6484538330387466,1.8902871823298937,0.3926883257591544,cluster,
calibration_auc_cohort_rank,StudyB,56,781,-0.6285638930954134,0.7316290915321219,2.013278611578935,0.6405279151274497,cluster,
calibration_auc_cohort_rank,StudyD,34,1230,0.8469094828605539,0.4379851295538317,0.8155721602368633,0.2355503428000066,cluster,
calibration_auc_cohort_rank,StudyE,8,240,0.7465506728230742,0.6991078156722158,1.0490816110581476,0.41301747233295005,cluster,
calibration_auc_cohort_rank,StudyF,89,1067,-3.5402552640013614,0.4796328023372303,3.1117672844999937,0.3563500661857071,cluster,
calibration_auc_cohort_rank,StudyG,40,1198,-0.17809350928633955,0.6946573987039741,1.4594986249512845,0.4497501452652836,cluster,
calibration_auc_cohort_rank,StudyH,64,1926,1.7796775834987517,0.3697531581925013,0.1195910578249226,0.23902700757347897,cluster,
calibration_auc_cohort_rank,StudyI,26,948,-1.1379352143816193,0.7513634561404141,0.9875349038819492,0.3534562365747963,cluster,
calibration_auc_cohort_rank,StudyJ,40,1812,-0.009319024727605263,0.5814215813331861,0.47947921032102847,0.25737569982755604,cluster,
calibration_auc_cohort_rank,StudyK,16,480,-0.2363919451383874,1.3548276792016487,0.7695466027088461,0.5491865108439109,cluster,
calibration_auc_cohort_rank,StudyL,33,990,-1.9613033433860787,0.35647611070889756,2.3708485927705505,0.24409281569545938,cluster,
calibration_auc_cohort_rank,StudyM,42,1260,-0.07568838936450836,0.47807066017693195,0.9772690990695112,0.26867159297895177,cluster,
calibration_auc_cohort_rank,StudyN,16,480,-3.032201400604963,0.6913449196718852,2.3334992627632927,0.39579066053219014,cluster,
calibration_auc_cohort_rank,StudyO,34,1187,1.3030970380958982,0.3697997850340394,0.44070862862904003,0.21985147241188993,cluster,
calibration_auc_cohort_rank,StudyQ,54,1944,-0.05443098446255895,0.21117302400925858,0.95923547175918,0.11421032750567944,cluster,
calibration_auc_cohort_rank,StudyR,80,1440,2.1320381530246766,0.3128252285707782,0.7391906329424912,0.22633901863276987,cluster,
calibration_auc_cohort_rank,StudyS1,20,360,2.4768170227601285,1.88809202998897,2.50192547676912,1.1374194645221645,cluster,
calibration_auc_cohort_rank,StudyS2,48,864,1.0454179686424478,0.6851079416494138,1.9816426335639152,0.42849867223640487,cluster,
calibration_auc_rbf,StudyA,39,1404,-2.912975374275166,0.9022937022057105,2.2267631647472124,0.5026858254246634,cluster,
calibration_auc_rbf,StudyB,56,781,-0.5430356132274681,0.6880050155617907,1.5794127448617632,0.46054260347924797,cluster,
calibration_auc_rbf,StudyD,34,1230,0.6696670292991673,0.5592216028845681,0.781975900328527,0.2406862258083065,cluster,
calibration_auc_rbf,StudyE,8,240,1.9025325371427424,0.5230238891837633,0.32221592449675973,0.360485927131325,cluster,
calibration_auc_rbf,StudyF,89,1067,-1.6020628366402956,0.4541746043043516,1.736394462432108,0.3315806325832417,cluster,
calibration_auc_rbf,StudyG,40,1198,-0.6643658677390334,1.1985426154449923,1.410678485442256,0.5891066386455982,cluster,
calibration_auc_rbf,StudyH,64,1926,1.7165848155911116,0.3640178901303011,0.18692386458330912,0.23073427907431937,cluster,
calibration_auc_rbf,StudyI,26,948,-0.20988053239196097,0.5950499482196452,0.875403028837402,0.4245513363472254,cluster,
calibration_auc_rbf,StudyJ,40,1812,0.48338610302769086,0.3412013038705624,0.3860217864676543,0.21647593628844433,cluster,
calibration_auc_rbf,StudyK,16,480,0.32787336732695077,0.46787584626061235,2.155221256672475,0.8740191754156392,cluster,
calibration_auc_rbf,StudyL,33,990,-2.1883418091970315,0.634745036687213,2.104349882212947,0.40047715124651856,cluster,
calibration_auc_rbf,StudyM,42,1260,0.1122863187492848,0.4642275149552002,1.101634270329748,0.36995881453512913,cluster,
